,Step,Beta,KL,Word,Topo,Assm,PNorm,GNorm
0,100.0,0.0,102.17499183654785,30.508222866803408,85.88275116682053,54.29872230382557,109.47508627395244,7.001825044706538
1,200.0,0.0,153.1272134399414,48.37171357870102,92.42212235927582,62.34311958391843,114.98684810618994,9.333889485861693
2,300.0,0.0,136.34566913604738,49.68402200937271,92.79183596372604,58.0342764138063,120.96348206529768,5.6804890584965
3,400.0,0.0,207.26618087768554,60.569183737039566,94.09477072954178,60.430888639906186,125.1220705483287,50.000001619198436
4,500.0,0.0,271.7462788391113,68.14754635095596,95.68180233240128,60.80956551053445,128.43485517492996,13.505522977273923
5,600.0,0.0,276.27733917236327,64.58307267725468,94.56704443693161,71.70604740933273,133.5199164974619,49.99999835582282
6,700.0,0.0,301.71207427978516,68.63291764259338,95.3597069978714,75.04102569419796,137.69552688248748,17.116198286985767
7,800.0,0.0,331.04880020141604,72.28077131509781,95.04653537273407,78.06928947298984,143.96594317729046,19.908919872453282
8,900.0,0.0,338.13877746582034,80.18009984493256,96.6322934627533,72.61251374736665,146.0404775439308,6.809482905330717
9,1000.0,0.0,361.31652114868166,79.58720791339874,97.53517580032349,58.040876516041045,148.37046610727862,14.741627466682306
10,1100.0,0.0,472.6434127807617,86.24099677801132,97.91620570421219,80.07954877532781,150.66738467912546,8.84529578363714
11,1200.0,0.0,464.70045318603513,84.21366882324219,95.5298587679863,74.980919330937,153.14811888994228,8.481757124680303
12,1300.0,0.0,447.54025115966795,85.05925673246384,96.62204486131668,62.359675425651666,155.67988768543458,6.222276750737232
13,1400.0,0.0,525.0663409423828,89.7404260635376,97.06427109241486,74.19226591111891,157.88535424541053,7.7132508038656775
14,1500.0,0.0,437.5398516845703,79.57694923877716,94.27015775442123,71.63317994621036,161.0883081463579,6.537612450902177
15,1600.0,0.0,460.51588256835936,85.97818696498871,97.80584943294525,66.45678413222369,163.5345196471117,16.441135851346363
16,1700.0,0.0,591.5774624633789,90.72073966264725,97.35789978504181,85.38010346473213,165.11183469671334,5.647835991060528
17,1800.0,0.0,552.2128674316406,91.85416036844254,97.2506794333458,72.31771953687245,166.78226235777092,6.042724215521726
18,1900.0,0.0,584.4852230834961,89.18114867806435,97.69268441200256,60.981711784189784,169.20973432380987,10.969106466374797
19,2000.0,0.0,623.2830078125,93.14667177200317,97.39457374811172,74.51546082867691,170.48756226404726,16.057171840492618
20,2100.0,0.0,643.73224609375,94.63546741008759,98.67601746320724,71.19316538019247,171.60232145092291,5.110908262642158
21,2200.0,0.0,632.1848794555664,89.98990160226822,97.80457103252411,71.35234093652855,173.81806863790484,4.201770744665905
22,2300.0,0.0,684.2211157226562,94.2233806848526,98.3206158876419,70.88131918782693,175.50430008825487,4.780295794065889
23,2400.0,0.0,589.3844296264648,88.95844954252243,96.74656540155411,65.99013414396174,177.71377075024768,11.653487784541472
24,2500.0,0.0,642.5625701904297,91.74106073379517,97.4308671951294,67.29838828580442,179.56723063946154,34.09079956447358
25,2600.0,0.0,731.3908288574219,94.73367244005203,98.29541575908661,66.97565705488223,180.79408517400373,13.444222385566436
26,2700.0,0.0,621.2722988891602,89.53934025764465,97.45269864797592,78.35175457856369,183.60643582919488,11.567013828371424
27,2800.0,0.0,695.7282241821289,91.09599947929382,98.22454708814621,80.01033448776843,186.60583266543435,9.944967560031307
28,2900.0,0.0,741.4449163818359,93.58444207906723,97.9058273434639,81.26916247651707,188.12832554909917,22.7908199882309
29,3000.0,0.0,682.5544915771484,95.5305603146553,97.5229429602623,81.18900813287948,189.38028042957475,14.992452262416966
30,3100.0,0.0,726.9964630126954,95.08494925498962,98.70081233978271,67.117624920013,190.41189550356472,8.640338950768113
31,3200.0,0.0,869.8645947265625,97.29237997531891,98.96062690019608,85.63534956608113,191.23575836833967,11.072726862074092
32,3300.0,0.0,813.34275390625,94.77871209383011,97.31368970870972,82.65237957244686,192.64681178812393,6.455245650280124
33,3400.0,0.0,758.6105041503906,95.6134380698204,98.67568212747574,70.15781811464473,193.9114913422461,4.799413156356195
34,3500.0,0.0,818.8311309814453,96.6693332195282,98.40539687871933,85.4281386561929,194.88182684840257,15.229881402833707
35,3600.0,0.0,760.0103704833984,90.20470833778381,96.79571950435638,78.86980398335308,198.25640990231287,6.143227998693008
36,3700.0,0.0,741.7382434082032,94.1997898221016,98.87307357788086,77.33824023206601,199.78670219906135,9.206699810708662
37,3800.0,0.0,841.2039660644531,96.40441435575485,98.79092425107956,90.53717047134006,200.88084156207103,3.0980109478085978
38,3900.0,0.0,801.3303088378906,96.43549013137817,98.18642473220825,77.06534404359205,202.01107037688362,4.543086934927336
39,4000.0,0.0,824.8103381347656,95.41123676300049,98.9198734164238,71.10102272336024,203.72744130314683,10.373388533602254
40,4100.0,0.0,800.366655883789,96.76778393983841,98.73810613155365,82.79534388566485,204.7533368070879,9.043641852846998
41,4200.0,0.0,839.3295745849609,97.4394525885582,99.43645602464676,81.3280062162806,205.54486584051386,7.075032651167938
42,4300.0,0.0,922.7816979980469,95.22526890039444,98.77620929479599,83.58294648146337,207.1593675697135,2.91749521068766
43,4400.0,0.0,915.9745867919922,96.71505182981491,99.16881501674652,81.21907066229201,208.36061374140772,2.771786111861107
44,4500.0,0.0,826.1793133544921,92.62724602222443,98.27414864301682,77.89981059223223,210.65874438949965,6.765950055309916
45,4600.0,0.0,884.2856713867187,94.90672558546066,98.11870235204697,79.76114250965772,211.9648659286784,16.515953444321998
46,4700.0,0.0,947.5046807861328,97.2318274974823,99.12173825502396,79.38844025594011,212.88571227076773,3.7776988050063762
47,4800.0,0.0,822.8189739990235,92.68768399953842,98.16534841060638,90.50256630261234,216.23644137401925,18.92227144796354
48,4900.0,0.0,905.5524932861329,94.59338921308517,99.07042294740677,88.77268975710265,219.00303964371977,11.971482395129488
49,5000.0,0.0,963.2650476074218,96.65905267000198,99.16729497909546,89.29034414071401,219.83489501142668,11.20115136921063
50,5100.0,0.0,878.4328680419922,96.90985935926437,98.37707376480103,90.00268930834574,221.034890417675,8.351996647128965
51,5200.0,0.0,947.7229797363282,97.10620814561844,99.33239954710007,80.28397745736615,221.81749956390482,5.780431900156363
52,5300.0,0.0,1074.4516094970704,98.40152132511139,99.21746999025345,93.20766748795295,222.53663227044677,6.6831869389858785
53,5400.0,0.0,1006.176240234375,95.7599019408226,97.51886975765228,89.08739257415617,224.15505283273114,9.153897639206894
54,5500.0,0.0,945.9565325927734,96.94318437576294,99.05117797851562,85.22578259113561,225.29538430765473,3.9362152611550663
55,5600.0,0.0,997.8834051513672,97.18398022651672,98.88242238759995,94.95823312211644,226.24265673731196,6.9774617266996035
56,5700.0,0.0,968.6525939941406,92.82748645544052,97.91883540153503,87.49202985277738,229.68887602161973,5.793548841498492
57,5800.0,0.0,925.7617828369141,97.1497192978859,99.41615670919418,86.51229267755807,230.65239703279727,5.649737379790322
58,5900.0,0.0,998.4066467285156,97.73694270849228,99.43823140859604,95.93559303486214,231.35511752395382,1.7987476953116985
59,6000.0,0.0,989.2732745361328,97.44291800260544,98.85640358924866,87.84225596346342,232.31307204084987,5.9027357460165
60,6100.0,0.0,981.2831915283203,96.72681206464767,98.8557431101799,84.8710369583922,233.56305814805924,6.763518388044823
61,6200.0,0.0,942.8448516845704,97.53837549686432,99.1537099480629,90.56250003418877,234.3873379682766,5.009985285480958
62,6300.0,0.0,997.8903289794922,98.15286922454834,99.69014489650726,89.90909869709262,235.04717447897187,2.8360217303881914
63,6400.0,0.0,1101.7329290771484,96.90408033132553,99.36550575494766,90.89543950018002,236.3802807707498,5.161803881984462
64,6500.0,0.0,1055.637876586914,97.96708327531815,99.61758428812027,89.95717860660048,237.2219989399535,7.256298769983805
65,6600.0,0.0,989.1146783447266,95.2085309624672,98.96890437602997,88.15364837504728,238.99641764835863,8.34884753758587
66,6700.0,0.0,1079.2427697753906,96.35420936346054,98.81195330619812,86.01332082390746,240.08388458547714,22.58252423429319
